#{"t_start": 1786528689.3629901, "env_id": "None"}
r,l,t,true_completion_rate,cheat_rate,report_rate,audit_prob,steps_taken
-15.65,150,1716.285438,0.33333333333333337,1.0,0.3333333333333333,0.05,150
-16.4,150,1716.916673,0.41666666666666663,0.75,0.6666666666666666,0.05,150
3.55,150,1717.323387,0.10526315789473684,0.9333333333333333,0.7894736842105263,0.05,150
3.45,150,1717.75345,0.1333333333333333,0.8461538461538461,0.8666666666666667,0.05,150
1.85,150,1718.245101,0.0714285714285714,0.8888888888888888,0.6428571428571429,0.05,150
2.25,150,1718.711729,0.1875,0.8235294117647058,1.0625,0.05,150
1.0,150,1719.126637,0.2222222222222222,0.7777777777777778,1.0,0.05,150
2.7,150,1719.587275,0.17647058823529416,0.9375,0.9411764705882353,0.05,150
4.45,150,1720.098436,0.4,0.7777777777777778,1.2,0.05,150
3.35,150,1720.659485,0.1428571428571429,0.9,1.4285714285714286,0.05,150
0.25,150,1721.012592,0.16666666666666663,0.8571428571428571,1.1666666666666667,0.05,150
-9.1,150,1721.461272,0.1428571428571429,1.0,0.5714285714285714,0.05,150
3.0,150,1723.46765,0.0,1.0,0.7058823529411765,0.05,150
4.05,150,1723.897378,0.25,0.8888888888888888,1.125,0.05,150
3.55,150,1724.227965,0.0,1.0,1.4285714285714286,0.05,150
3.0,150,1724.61572,0.19999999999999996,0.8666666666666667,1.0,0.05,150
-16.75,150,1725.002899,0.1333333333333333,1.0,0.26666666666666666,0.05,150
2.65,150,1725.436682,0.16666666666666663,0.9090909090909091,1.2222222222222223,0.05,150
2.85,150,1725.930282,0.30000000000000004,0.8461538461538461,1.3,0.05,150
-21.25,150,1726.387904,0.09090909090909094,0.8571428571428571,0.6363636363636364,0.05,150
1.35,150,1726.788531,0.09999999999999998,0.875,0.8,0.05,150
2.55,150,1727.170471,0.09090909090909094,0.9375,1.4545454545454546,0.05,150
-0.1,150,1727.575568,0.125,0.875,1.0,0.05,150
-0.1,150,1727.935574,0.0,1.0,2.0,0.05,150
6.1,150,1728.529984,0.19999999999999996,0.8333333333333334,0.96,0.05,150
0.35,150,1729.015131,0.0,1.0,1.2727272727272727,0.05,150
-20.85,150,1730.7395,0.0625,1.0,0.5625,0.05,150
4.25,150,1731.161028,0.2142857142857143,0.85,1.4285714285714286,0.05,150
1.45,150,1731.59641,0.09999999999999998,1.0,1.5,0.05,150
1.7,150,1731.99554,0.30000000000000004,0.8,1.0,0.05,150
0.85,150,1732.39873,0.2857142857142857,0.8888888888888888,1.2857142857142858,0.05,150
1.05,150,1732.805662,0.11111111111111116,0.9,1.1111111111111112,0.05,150
1.55,150,1733.360558,0.23076923076923073,0.8235294117647058,1.3076923076923077,0.05,150
2.0,150,1733.824777,0.23076923076923073,0.8125,1.2307692307692308,0.05,150
3.0,150,1734.278799,0.2941176470588235,1.0,1.0588235294117647,0.05,150
-15.0,150,1734.876041,0.09999999999999998,1.0,0.4,0.05,150
-15.8,150,1735.264838,0.0,1.0,0.3333333333333333,0.05,150
2.8,150,1735.827966,0.15384615384615385,0.9375,1.2307692307692308,0.05,150
-45.3,150,1736.303764,0.0,1.0,0.5384615384615384,0.05,150
2.65,150,1737.987669,0.36363636363636365,0.9090909090909091,1.0,0.05,150
3.45,150,1738.408916,0.2857142857142857,0.7777777777777778,1.2857142857142858,0.05,150
1.9,150,1738.812219,0.18181818181818177,0.875,1.4545454545454546,0.05,150
-37.0,150,1739.185774,0.0714285714285714,0.0,0.0,0.05,150
-22.35,150,1739.577602,0.0,0.0,0.0,0.05,150
0.95,150,1739.940217,0.09090909090909094,1.0,1.2727272727272727,0.05,150
1.0,150,1740.30606,0.5555555555555556,0.7777777777777778,2.0,0.05,150
-19.8,150,1740.658324,0.0714285714285714,1.0,0.35714285714285715,0.05,150
